"id","IsEditable","InVisible","ObjectNameId","PropertyNameId","RoleId","SystemRow","version"
"1","true","false","1","1","1","0","0"
"2","true","false","1","2","1","0","0"
"3","true","false","1","24","1","0","0"
"4","true","false","1","3","1","0","0"
"5","true","false","1","9","1","0","0"
"6","true","false","10","1","1","0","0"
"7","true","false","10","1","2","0","0"
"8","true","false","10","2","1","0","0"
"9","true","false","10","2","2","0","0"
"10","true","false","10","24","1","0","0"
"11","true","false","10","24","2","0","0"
"12","true","false","10","3","1","0","0"
"13","true","false","10","3","2","0","0"
"14","true","false","11","9","1","0","0"
"15","true","false","12","9","1","0","0"
"16","true","false","12","9","2","0","0"
"17","true","false","12","9","4","0","0"
"18","true","false","14","9","1","0","0"
"19","true","false","14","9","2","0","0"
"20","true","false","14","9","4","0","0"
"21","true","false","17","9","1","0","0"
"22","true","false","17","9","2","0","0"
"23","true","false","17","9","4","0","0"
"24","true","false","18","9","1","0","0"
"25","true","false","18","9","2","0","0"
"26","true","false","19","9","1","0","0"
"27","true","false","19","9","2","0","0"
"28","true","false","2","1","1","0","0"
"29","true","false","2","2","1","0","0"
"30","true","false","2","24","1","0","0"
"31","true","false","2","3","1","0","0"
"32","true","false","2","9","1","0","0"
"33","true","false","20","9","1","0","0"
"34","true","false","20","9","2","0","0"
"35","true","false","21","1","1","0","0"
"36","true","false","21","1","2","0","0"
"37","true","false","21","1","4","0","0"
"38","true","false","21","2","1","0","0"
"39","true","false","21","24","1","0","0"
"40","true","false","21","24","2","0","0"
"41","true","false","21","3","1","0","0"
"42","true","false","21","3","2","0","0"
"43","true","false","22","1","1","0","0"
"44","true","false","22","1","2","0","0"
"45","true","false","22","1","4","0","0"
"46","true","false","22","12","1","0","0"
"47","true","false","22","12","2","0","0"
"48","true","false","22","2","1","0","0"
"49","true","false","22","24","1","0","0"
"50","true","false","22","3","1","0","0"
"51","true","false","22","5","1","0","0"
"52","true","false","22","5","2","0","0"
"53","true","false","22","6","1","0","0"
"54","true","false","22","6","2","0","0"
"55","true","false","23","9","1","0","0"
"56","true","false","24","9","1","0","0"
"57","true","false","25","9","1","0","0"
"58","true","false","26","2","1","0","0"
"59","true","false","26","24","1","0","0"
"60","true","false","27","9","1","0","0"
"61","true","false","28","1","1","0","0"
"62","true","false","28","2","1","0","0"
"63","true","false","28","24","1","0","0"
"64","true","false","28","3","1","0","0"
"65","true","false","28","9","1","0","0"
"66","true","false","29","1","1","0","0"
"67","true","false","29","12","1","0","0"
"68","true","false","29","5","1","0","0"
"69","true","false","29","6","1","0","0"
"70","true","false","3","1","1","0","0"
"71","true","false","3","2","1","0","0"
"72","true","false","3","24","1","0","0"
"73","true","false","3","3","1","0","0"
"74","true","false","3","9","1","0","0"
"75","true","false","30","1","1","0","0"
"76","true","false","30","2","1","0","0"
"77","true","false","30","24","1","0","0"
"78","true","false","30","3","1","0","0"
"79","true","false","31","1","1","0","0"
"80","true","false","31","2","1","0","0"
"81","true","false","31","24","1","0","0"
"82","true","false","31","3","1","0","0"
"83","true","false","32","1","1","0","0"
"84","true","false","32","12","1","0","0"
"85","true","false","32","5","1","0","0"
"86","true","false","32","6","1","0","0"
"87","true","false","33","1","1","0","0"
"88","true","false","33","2","1","0","0"
"89","true","false","33","24","1","0","0"
"90","true","false","33","3","1","0","0"
"91","true","false","33","9","1","0","0"
"92","true","false","34","1","1","0","0"
"93","true","false","34","2","1","0","0"
"94","true","false","34","24","1","0","0"
"95","true","false","34","3","1","0","0"
"96","true","false","35","1","1","0","0"
"97","true","false","35","3","1","0","0"
"98","true","false","35","4","1","0","0"
"99","true","false","36","2","1","0","0"
"100","true","false","36","24","1","0","0"
"101","true","false","37","1","1","0","0"
"102","true","false","37","3","1","0","0"
"103","true","false","37","4","1","0","0"
"104","true","false","38","9","1","0","0"
"105","true","false","39","9","1","0","0"
"106","true","false","4","1","1","0","0"
"107","true","false","4","2","1","0","0"
"108","true","false","4","24","1","0","0"
"109","true","false","4","3","1","0","0"
"110","true","false","4","9","1","0","0"
"111","true","false","40","9","1","0","0"
"112","true","false","42","9","1","0","0"
"113","true","false","43","9","1","0","0"
"114","true","false","44","9","1","0","0"
"115","true","false","45","9","1","0","0"
"116","true","false","46","9","1","0","0"
"117","true","false","47","9","1","0","0"
"118","true","false","48","9","1","0","0"
"119","true","false","5","4","1","0","0"
"120","true","false","5","4","2","0","0"
"121","true","false","5","7","1","0","0"
"122","true","false","5","7","2","0","0"
"123","true","false","51","9","1","0","0"
"124","true","false","52","9","1","0","0"
"125","true","false","53","9","1","0","0"
"126","true","false","54","9","1","0","0"
"127","true","false","55","9","1","0","0"
"128","true","false","56","9","1","0","0"
"129","true","false","57","9","1","0","0"
"130","true","false","58","9","1","0","0"
"131","true","false","59","9","1","0","0"
"132","true","false","6","1","1","0","0"
"133","true","false","6","11","1","0","0"
"134","true","false","6","12","1","0","0"
"135","true","false","6","12","2","0","0"
"136","true","false","6","2","1","0","0"
"137","true","false","6","24","1","0","0"
"138","true","false","6","3","1","0","0"
"139","true","false","6","5","1","0","0"
"140","true","false","6","5","2","0","0"
"141","true","false","6","6","1","0","0"
"142","true","false","6","6","2","0","0"
"143","true","false","60","9","1","0","0"
"144","true","false","61","9","1","0","0"
"145","true","false","62","9","1","0","0"
"146","true","false","63","9","1","0","0"
"147","true","false","64","9","1","0","0"
"148","true","false","65","9","1","0","0"
"149","true","false","7","1","1","0","0"
"150","true","false","7","12","1","0","0"
"151","true","false","7","2","1","0","0"
"152","true","false","7","24","1","0","0"
"153","true","false","7","3","1","0","0"
"154","true","false","7","5","1","0","0"
"155","true","false","7","6","1","0","0"
"156","true","false","8","2","1","0","0"
"157","true","false","8","5","1","0","0"
"158","true","false","8","5","2","0","0"
"159","true","false","83","9","1","0","0"
"160","true","false","84","9","1","0","0"
"161","true","false","6","25","1","0","0"
"162","true","false","85","1","9","0","0"
"163","true","false","85","2","9","0","0"
"164","true","false","85","3","9","0","0"
"167","true","false","85","1","8","0","0"
"169","true","false","85","3","8","0","0"
"172","true","false","86","1","9","0","0"
"173","true","false","86","2","9","0","0"
"174","true","false","86","3","9","0","0"
"177","true","false","86","1","8","0","0"
"178","true","false","86","2","8","0","0"
"179","true","false","86","3","8","0","0"
"182","true","false","87","1","9","0","0"
"183","true","false","87","2","9","0","0"
"184","true","false","87","3","9","0","0"
"187","true","false","87","1","8","0","0"
"188","true","false","87","2","8","0","0"
"189","true","false","87","3","8","0","0"
"190","true","false","88","9","1","0","0"
"500","true","false","70","9","1","1","0"
"501","true","false","71","9","1","1","0"
"502","true","false","72","9","1","1","0"
"503","true","false","73","9","1","1","0"
"504","true","false","74","9","1","1","0"
"505","true","false","13","9","1","0","0"
"506","true","false","89","9","1","1","0"
"507","true","false","90","9","1","1","0"
"508","true","false","91","9","1","1","0"
"509","true","false","92","9","1","1","0"
"510","true","false","93","9","1","1","0"
"511","true","false","94","9","1","1","0"
"512","true","false","95","9","1","1","0"
"513","true","false","96","9","1","1","0"
"514","true","false","89","9","2","1","0"
"515","true","false","90","9","2","1","0"
"516","true","false","91","9","2","1","0"
"517","true","false","92","9","2","1","0"
"518","true","false","93","9","2","1","0"
"519","true","false","94","9","2","1","0"
"520","true","false","95","9","2","1","0"
"521","true","false","96","9","2","1","0"
