"id","Name","Description","kind","CreatedBy","CreatedDate","EditedBy","EditedDate","Location","SourceId","Source","FileDataId","Extension","MimeType","contentLength","Subject","version"
"1","Greenbill_Logo_38.png","NULL","NULL","NULL","NULL","NULL","NULL","/ux/images/Greenbill_Logo_38.png","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
"2","Greenbill_Logo_38.png","NULL","NULL","NULL","NULL","NULL","NULL","/ux/images/Greenbill_Logo_38.png","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
"3","companyLogo.png","NULL","NULL","NULL","NULL","NULL","NULL","companyLogo.png","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
"10","service-qb.ftl","NULL","Invoice","NULL","NULL","NULL","NULL","/templates/invoice/service-qb.ftl","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
"11","product-qb.ftl","NULL","Invoice","NULL","NULL","NULL","NULL","/templates/invoice/product-qb.ftl","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
"12","professional-qb.ftl","NULL","Invoice","NULL","NULL","NULL","NULL","/templates/invoice/professional-qb.ftl","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
"13","email-tan.ftl","NULL","Invoice","NULL","NULL","NULL","NULL","/templates/invoice/email-tan.ftl","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
"14","greenbar.ftl","NULL","Invoice","NULL","NULL","NULL","NULL","/templates/invoice/greenbar.ftl","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
"16","invoice2.ftl","NULL","Invoice","NULL","NULL","NULL","NULL","/templates/freemarker/invoice2.ftl","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
"17","Gentle Reminder","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9ci","11","ftl","application/freemarker","NULL","Reminder:  Your invoice is past due.","0"
"18","Standard Reminder","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9ci","10","ftl","application/freemarker","NULL","Second Reminder:  Overdue invoice.","0"
"19","Serious Reminder 1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9ci","12","ftl","application/freemarker","NULL","Third Notice:  Your invoice is seriously past due.","0"
"20","Serious Reminder 2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9ci","13","ftl","application/freemarker","NULL","Fourth Warning:  Your invoice is critically past due!","0"
"21","Call reminder script","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9ci","14","ftl","application/freemarker","NULL","Call reminder script","0"
"22","Third party","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9ci","15","ftl","application/freemarker","NULL","Final Warning:  Third party collections notice","0"
"117","invoice3.ftl","NULL","Invoice","NULL","NULL","NULL","NULL","/templates/freemarker/invoice3.ftl","NULL","9ci","NULL","NULL","NULL","NULL","NULL","0"
